,Title,Brand,Model,Year,Price,Condition,Type,Engine_Size,Fuel_Type,Transmission,Mileage,Color,Additional
355,Mercedes-Benz E 250,Mercedes-Benz,E 250,2014,14200000,Б/у,седан,2.1,дизель,КПП автомат,134000,черный,"металлик, литые диски, тонировка, спойл..."
357,Audi A6 allroad,Audi,A6 allroad,2002,4000000,Б/у,универсал,2.7,бензин,КПП автомат,325000,металлик,"люк, рейлинги, ксенон, кожа, дере..."
359,BMW 318,BMW,318,1992,1400000,Б/у,седан,1.8,бензин,КПП автомат,435000,металлик,Продам БМW обмен не интересует Гур ав...
360,ВАЗ (Lada) Priora 2170,ВАЗ,(Lada) Priora 2170,2015,3000000,Б/у,седан,1.6,бензин,КПП механика,284000,белый,"металлик, литые диски, тонировка, велюр..."
361,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2012,1500000,Б/у,седан,1.6,бензин,КПП механика,75000,черный,"металлик, В аварийном состоянии, движок..."
362,Volkswagen Polo,Volkswagen,Polo,2013,3200000,Б/у,седан,1.6,бензин,КПП механика,200000,серебристый,ПРОДАМ ПОЛО 2013 ГОДА 2 ХОЗЯИН КА...
363,Toyota Hilux,Toyota,Hilux,2010,2000000,Б/у,пикап,2.5,дизель,КПП механика,363000,коричневый,"металлик, Машина жүрмейді Организа..."
364,Geely SC7,Geely,SC7,2014,2800000,Б/у,седан,1.8,газ-бензин,КПП механика,222222,белый,"тонировка, ветровики, ксенон, велюр..."
365,Zeekr 001,Zeekr,001,2023,22700000,Б/у,лифтбек,0.1,электричество,КПП автомат,5000,черный,Автомобиль в идеальном состояние...
366,Toyota Camry,Toyota,Camry,2014,8000000,Б/у,седан,2.5,бензин,КПП автомат,134000,серый,"кожа, климат-контроль, Продается Toyota..."
372,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2024,32400000,Б/у,внедорожник,2.8,дизель,КПП автомат,8700,черный,"металлик, BLACK ONYX (black edition..."
376,ВАЗ (Lada) 21099,ВАЗ,(Lada) 21099,1998,1700000,Б/у,седан,1.5,бензин,КПП механика,175750,синий,"металлик, Движок карбюратор масло нехав..."
377,Daewoo Matiz,Daewoo,Matiz,2012,1400000,Б/у,хэтчбек,0.8,бензин,КПП механика,140,велюр,"налог уплачен, техосмотр пройден, вложени..."
378,Lexus IS 250,Lexus,IS 250,2014,11500000,Б/у,седан,2.5,бензин,КПП автомат,120000,черный,"литые диски, люк, противотуманки, омыва..."
384,Hyundai Palisade,Hyundai,Palisade,2023,24500000,Б/у,кроссовер,3.5,бензин,КПП автомат,32000,металлик,Автомобиль куплен у официального д...
388,Mercedes-Benz E 320,Mercedes-Benz,E 320,2002,5500000,Б/у,седан,3.2,бензин,КПП автомат,207000,синий,"металлик, литые диски, тонировка, люк, д..."
389,Volkswagen Passat,Volkswagen,Passat,1998,1500000,Б/у,седан,1.8,бензин,КПП механика,320315,синий,"металлик, литые диски, корректор фар, в..."
392,Chevrolet Cobalt,Chevrolet,Cobalt,2021,5600000,Б/у,седан,1.5,бензин,КПП автомат,120,белый,"литые диски, тонировка, хрустальная оптика,..."
393,Daewoo Matiz,Daewoo,Matiz,2007,1200000,Б/у,хэтчбек,0.8,бензин,КПП автомат,171717,зеленый,"ветровики, велюр, CD, MP3, USB, конд..."
394,Kia Sorento,Kia,Sorento,2010,6900000,Б/у,кроссовер,2.4,бензин,КПП автомат,150000,черный,"Газ бензин, автомат!"
400,Toyota Camry,Toyota,Camry,2021,12800000,Б/у,седан,2.5,бензин,КПП автомат,93000,серебристый,"металлик, литые диски, тонировка, с..."
401,ВАЗ (Lada) Largus,ВАЗ,(Lada) Largus,2018,5500000,Б/у,универсал,1.6,бензин,КПП механика,183000,бежевый,"металлик, фаркоп, ксенон, противо..."
402,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2013,1450000,Б/у,хэтчбек,1.5,бензин,КПП механика,320000,черный,"тонировка, противотуманки, комбиниро..."
403,Daewoo Nexia,Daewoo,Nexia,2007,1800000,Б/у,седан,1.5,бензин,КПП механика,135447,красный,Все детали в родном краске
404,Kia Carnival,Kia,Carnival,2021,21400000,Б/у,минивэн,3.5,бензин,КПП автомат,50000,белый,"KIA carnival Noblesse, Корейская сборка..."
405,Toyota Highlander,Toyota,Highlander,2019,18000000,Б/у,кроссовер,3.5,бензин,КПП автомат,158000,серебристый,"металлик, литые диски, тониров..."
409,BMW X5 M,BMW,X5 M,2010,17500000,Б/у,кроссовер,4.4,бензин,КПП автомат,113000,хамелеон,"металлик, литые диски, тонировка,..."
412,EXEED TXL,EXEED,TXL,2022,12200000,Б/у,кроссовер,1.6,бензин,КПП робот,42000,белый,"металлик, тонировка, люк, панорамная кр..."
418,Toyota RAV4,Toyota,RAV4,2018,12282285,Б/у,кроссовер,2.5,бензин,КПП автомат,158000,серый,"металлик, литые диски, тонировка, лю..."
419,Kia Rio X-Line,Kia,Rio X-Line,2020,7900000,Б/у,хэтчбек,1.6,бензин,КПП автомат,89000,белый,"литые диски, хрустальная оптика, линзов..."
422,BMW 325,BMW,325,2006,3490000,Б/у,седан,2.5,бензин,КПП автомат,343000,зеленый,"металлик, литые диски, тонировка, люк,..."
423,Volkswagen Jetta,Volkswagen,Jetta,2015,6500000,Б/у,седан,1.4,бензин,КПП автомат,118000,коричневый,"металлик, литые диски, тонировка, л..."
426,Toyota Alphard,Toyota,Alphard,2004,8500000,Б/у,минивэн,2.4,бензин,КПП автомат,310000,металлик,"литые диски, тонировка, ветровики,..."
427,Lexus LS 460,Lexus,LS 460,2013,17000000,Б/у,седан,4.6,бензин,КПП автомат,154000,черный,"металлик, Продам Lexus Ls460 Long предс..."
430,Kia Rio,Kia,Rio,2021,9500000,Б/у,седан,1.6,бензин,КПП автомат,35600,серый,"металлик, хрустальная оптика, кожа, Авто..."
461,Toyota Land Cruiser,Toyota,Land Cruiser,2022,56500000,Б/у,внедорожник,3.5,бензин,КПП автомат,19000,черный,Продам — Toyota Land Cruiser 300 Е...
462,Hyundai Accent,Hyundai,Accent,2019,7990000,Б/у,седан,1.6,бензин,КПП автомат,109600,184405 Автоцентр — это простота,удобство и ком...
466,Audi 80,Audi,80,1991,1000000,Б/у,седан,1.8,бензин,КПП механика,381000,красный,"велюр, Машина на карбюраторе, находит..."
467,Chevrolet Nexia,Chevrolet,Nexia,2022,5300000,Б/у,седан,1.5,бензин,КПП автомат,67000,белый,"багажник, хрустальная оптика, дневные ход..."
472,BMW 728,BMW,728,1998,3700000,Б/у,седан,2.8,бензин,КПП автомат,372231,зеленый,"металлик, литые диски, тонировка, люк,..."
473,Toyota Land Cruiser,Toyota,Land Cruiser,2012,22700000,Б/у,внедорожник,4.6,бензин,КПП автомат,246000,белый,Продам Toyota Land Cruiser 2012 го...
475,Mercedes-Benz S 500,Mercedes-Benz,S 500,2013,18950000,Б/у,седан,4.7,бензин,КПП автомат,130000,черный,Продам — Mercedes-Benz S 500 В отличном...
479,BMW 850,BMW,850,2020,55000000,Б/у,седан,4.4,бензин,КПП автомат,45000,черный,"металлик, Продам BMW M850I Автомобиль 20..."
483,Toyota Land Cruiser,Toyota,Land Cruiser,2017,37500000,Б/у,внедорожник,4.6,бензин,КПП автомат,79600,черный,Продам — Toyota Land Cruiser 200 П...
485,Lexus GS 350,Lexus,GS 350,2020,27200000,Б/у,седан,3.5,бензин,КПП автомат,52000,черный,Продам Lexus GS350 Второй хозяин Автомоб...
486,Lexus LX 570,Lexus,LX 570,2013,24500000,Б/у,внедорожник,5.7,бензин,КПП автомат,38000,белый,"металлик, Продам Lexus Lx570 в отли..."
487,Hyundai Tucson,Hyundai,Tucson,2022,14500000,Б/у,кроссовер,2.5,бензин,КПП автомат,28000,вишня,"металлик, литые диски, тонировка, пан..."
488,Mercedes-Benz E 350,Mercedes-Benz,E 350,2013,12900000,Б/у,седан,3.5,бензин,КПП автомат,210000,черный,"литые диски, тонировка, люк, спойлер, б..."
489,Genesis G70,Genesis,G70,2019,15500000,Б/у,седан,3.3,бензин,КПП автомат,56000,3,"3л турбо 370 НР в стоке 0-100км 4, 7 сек АИ-9..."
498,Genesis G90,Genesis,G90,2021,26000000,Б/у,седан,3.8,бензин,КПП автомат,70000,черный,"металлик, литые диски, тонировка, кожа,..."
499,Hyundai Palisade,Hyundai,Palisade,2021,23000000,Б/у,кроссовер,3.8,бензин,КПП автомат,65000,белый,"литые диски, тонировка, панорамная кр..."
504,Toyota Camry,Toyota,Camry,2015,9500000,Б/у,седан,2.5,бензин,КПП автомат,153000,серый,"металлик, литые диски, тонировка, спойле..."
511,Suzuki SX4,Suzuki,SX4,2012,5400000,Б/у,хэтчбек,1.6,бензин,КПП автомат,136000,зеленый,"металлик, литые диски, тонировка, ба..."
513,Volkswagen Touareg,Volkswagen,Touareg,2007,8200000,Б/у,кроссовер,3.6,бензин,КПП автомат,312000,серебристый,"металлик, литые диски, тониров..."
514,УАЗ Patriot,УАЗ,Patriot,2014,4750000,Б/у,внедорожник,2.9,газ-бензин,КПП механика,175000,жёлтый,Обмен қарауғада болады
516,Toyota Land Cruiser,Toyota,Land Cruiser,2019,45000000,Б/у,внедорожник,4.6,бензин,КПП автомат,6000,черный,"металлик, литые диски, тонировка, л..."
517,Kia Opirus,Kia,Opirus,2008,6100000,Б/у,седан,3.8,бензин,КПП автомат,130000,Очень мягка и комфортная тачка,корейский бизне...
519,Changan UNI-V,Changan,UNI-V,2023,10700000,Б/у,лифтбек,1.5,бензин,КПП робот,25000,черный,"металлик, литые диски, тонировка, панора..."
520,Toyota Alphard,Toyota,Alphard,2006,6600000,Б/у,минивэн,2.4,бензин,КПП автомат,205,белый,"металлик, литые диски, тонировка, ксенон,..."
